,timestamp,temperature_difference_c,Conductive energy (J),Air change energy (J),Radiant energy (J),HVAC energy (J),hvac_mode,Net energy xfer,ΔT,Outdoor Temperature (C),Indoor Temperature (C),HVAC energy use (kWh)
3364,2022-05-21 04:30:00-08:00,-18.073734974434235,-981563.0657479549,-663412.3896498213,0.0,0,off,-1644975.4553977763,-0.052723572288390266,2.0,20.021011402145845,0.0
3365,2022-05-21 05:30:00-08:00,-15.621011402145845,-848358.5636097337,-573383.0067611181,0.0,0,off,-1421741.5703708518,-0.04556864007598884,4.4,19.975442762069857,0.0
3366,2022-05-21 06:30:00-08:00,-12.275442762069858,-666664.706990261,-450580.95785479946,0.0,6000000,heating,4882754.335154939,0.15649853638317113,7.7,20.13194129845303,1.6666666666666667
3367,2022-05-21 07:30:00-08:00,-10.03194129845303,-544822.8089125953,-368231.2570726289,0.0,0,off,-913054.0659852242,-0.029264553396962316,10.1,20.102676745056065,0.0
3368,2022-05-21 08:30:00-08:00,-7.902676745056066,-429184.9816579,-290074.7228773521,273519.3444559449,0,off,-445740.36007930717,-0.014286550002541896,12.2,20.088390195053524,0.0
3369,2022-05-21 09:30:00-08:00,-5.988390195053524,-325222.35426525224,-219809.14598314112,603629.1401191943,0,off,58597.63987080089,0.0018781294830384901,14.1,20.090268324536563,0.0
3370,2022-05-21 10:30:00-08:00,-4.390268324536564,-238430.25485235333,-161148.6726182833,847511.4830646759,0,off,447932.55559403927,0.01435681267929613,15.7,20.10462513721586,0.0
3371,2022-05-21 11:30:00-08:00,-3.2046251372158565,-174039.38249111245,-117628.59327192321,970212.1675084148,0,off,678544.1917453792,0.02174821127389036,16.900000000000002,20.12637334848975,0.0
3372,2022-05-21 12:30:00-08:00,-2.4263733484897507,-131773.45280107402,-89062.17467397674,951428.5780841613,0,off,730592.9506091105,0.02341644072465098,17.7,20.149789789214402,0.0
3373,2022-05-21 13:30:00-08:00,-2.1497897892144024,-116752.52841760745,-78909.93108645806,808587.9026782811,0,off,612925.4431742155,0.01964504625558383,18.0,20.169434835469986,0.0
3374,2022-05-21 14:30:00-08:00,-2.469434835469986,-134112.07098020377,-90642.78454901597,531174.3011915453,0,off,306419.4456623256,0.009821136078920692,17.7,20.179255971548905,0.0
3375,2022-05-21 15:30:00-08:00,-3.2792559715489027,-178092.4944046651,-120367.98389685385,223550.0272869556,0,off,-74910.45101456335,-0.0024009759940565177,16.900000000000002,20.176854995554848,0.0
3376,2022-05-21 16:30:00-08:00,-4.676854995554848,-253994.43634583644,-171668.0892486015,0.0,0,off,-425662.52559443796,-0.013643029666488397,15.5,20.163211965888358,0.0
3377,2022-05-21 17:30:00-08:00,-6.663211965888358,-361871.1226106472,-244579.074512608,0.0,0,off,-606450.1971232551,-0.01943750631805305,13.5,20.143774459570306,0.0
3378,2022-05-21 18:30:00-08:00,-9.343774459570305,-507449.28578219155,-342971.48604540416,0.0,0,off,-850420.7718275958,-0.027257076020115248,10.8,20.11651738355019,0.0
3379,2022-05-21 19:30:00-08:00,-10.616517383550189,-576570.441322972,-389688.63807854813,0.0,0,off,-966259.0794015201,-0.030969842288510258,9.5,20.08554754126168,0.0
3380,2022-05-21 20:30:00-08:00,-10.785547541261678,-585750.2682951965,-395893.0391616052,0.0,0,off,-981643.3074568016,-0.031462926521051336,9.3,20.054084614740628,0.0
3381,2022-05-21 21:30:00-08:00,-10.954084614740628,-594903.3164487847,-402079.3411528325,0.0,0,off,-996982.6576016172,-0.03195457235902619,9.1,20.0221300423816,0.0
3382,2022-05-21 22:30:00-08:00,-11.2221300423816,-609460.5450507952,-411918.1850850658,0.0,0,off,-1021378.730135861,-0.032736497760764774,8.8,19.989393544620835,0.0
3383,2022-05-21 23:30:00-08:00,-11.489393544620835,-623975.3082135592,-421728.32775549416,0.0,6000000,heating,4954296.364030947,0.15879155012919702,8.5,20.148185094750033,1.6666666666666667
3384,2022-05-22 00:30:00-08:00,-12.048185094750034,-654322.6131748593,-442239.2646543542,0.0,0,off,-1096561.8778292136,-0.035146214032987615,8.1,20.113038880717045,0.0
3385,2022-05-22 01:30:00-08:00,-12.313038880717045,-668706.5075108373,-451960.9565627904,0.0,0,off,-1120667.4640736277,-0.03591882897671884,7.800000000000001,20.077120051740327,0.0
3386,2022-05-22 02:30:00-08:00,-12.677120051740326,-688479.3231970373,-465324.87719329196,0.0,0,off,-1153804.2003903294,-0.0369809038586644,7.4,20.04013914788166,0.0
3387,2022-05-22 03:30:00-08:00,-13.04013914788166,-708194.4588586797,-478649.81342812686,0.0,0,off,-1186844.2722868067,-0.038039880522013035,7.0,20.002099267359647,0.0
3388,2022-05-22 04:30:00-08:00,-12.802099267359647,-695266.7958589749,-469912.3495783777,0.0,0,off,-1165179.1454373526,-0.037345485430684375,7.2,19.964753781928962,0.0
3389,2022-05-22 05:30:00-08:00,-11.064753781928962,-600913.6273879907,-406141.5505837454,0.0,6000000,heating,4992944.822028264,0.16003028275731618,8.9,20.124784064686278,1.6666666666666667
3390,2022-05-22 06:30:00-08:00,-7.924784064686278,-430385.60391237005,-290886.19155083754,0.0,0,off,-721271.7954632076,-0.023117685752025885,12.2,20.10166637893425,0.0
3391,2022-05-22 07:30:00-08:00,-5.2016663789342505,-282496.3188365327,-190931.75414441017,0.0,0,off,-473428.0729809429,-0.015173976698107144,14.9,20.086492402236143,0.0
3392,2022-05-22 08:30:00-08:00,-3.586492402236143,-194778.13980343894,-131645.36817619725,243424.81551230533,0,off,-82998.69246733087,-0.0026602145021580406,16.5,20.083832187733986,0.0
3393,2022-05-22 09:30:00-08:00,-2.083832187733986,-113170.44947210568,-76488.89912623572,562870.8376936411,0,off,373211.4890952997,0.011961906701772426,18.0,20.095794094435757,0.0
3394,2022-05-22 10:30:00-08:00,-0.795794094435756,-43218.631464021986,-29210.324407524222,799642.4227906418,0,off,727213.4669190956,0.0233081239397146,19.3,20.11910221837547,0.0
3395,2022-05-22 11:30:00-08:00,0.08089778162453243,4393.462372658825,2969.424454924014,918974.4699411099,0,off,926337.3567686927,0.02969029989643246,20.200000000000003,20.148792518271904,0.0
