,timestamp,fromba,generation_type,Usage (MWh)
111,2024-02-05,BANC,Solar,1.8734589161636462e-08
112,2024-02-05,BANC,Natural gas,6.240415404320099e-07
113,2024-02-05,BANC,Hydro,5.190134729953356e-07
114,2024-02-05,CISO,Hydro,3.2979771236544837e-26
115,2024-02-05,CISO,Other,2.2874336351157994e-27
116,2024-02-05,CISO,Solar,2.0091332141207493e-26
117,2024-02-05,CISO,Nuclear,3.2582714085071213e-26
118,2024-02-05,CISO,Natural gas,1.705958153727027e-25
119,2024-02-05,CISO,Coal,0.0
120,2024-02-05,CISO,Petroleum,3.0515133577700266e-28
121,2024-02-05,CISO,Wind,1.3382808286960318e-26
122,2024-02-05,TIDC,Natural gas,0.03279904010854795
123,2024-02-05,TIDC,Hydro,0.009598914520537162
124,2024-02-04,BPAT,Nuclear,0.0
125,2024-02-04,BPAT,Natural gas,0.0
126,2024-02-04,BPAT,Wind,0.0
127,2024-02-04,BPAT,Solar,0.0
128,2024-02-04,BPAT,Other,0.0
129,2024-02-04,BPAT,Hydro,0.0
130,2024-02-04,CISO,Solar,1.0159863242762836e-25
131,2024-02-04,CISO,Petroleum,1.3675365951932244e-27
132,2024-02-04,CISO,Coal,0.0
133,2024-02-04,CISO,Natural gas,3.5776368350607855e-25
134,2024-02-04,CISO,Hydro,9.97020221028356e-26
135,2024-02-04,CISO,Wind,8.45877220627884e-26
136,2024-02-04,CISO,Nuclear,9.934137322833351e-26
137,2024-02-04,CISO,Other,3.6980239923565106e-28
138,2024-02-04,TIDC,Natural gas,0.0
139,2024-02-04,TIDC,Hydro,0.0
140,2024-02-04,BANC,Hydro,4.018950811448242e-07
141,2024-02-04,BANC,Solar,1.4913851554767176e-08
142,2024-02-04,BANC,Natural gas,5.003585742053301e-07
143,2024-02-04,BANC,Other,3.528007894676106e-09
144,2024-02-03,BANC,Other,3.944550809614325e-09
145,2024-02-03,BANC,Natural gas,3.9490588676824563e-07
146,2024-02-03,BANC,Solar,1.3148502698714417e-08
147,2024-02-03,BANC,Hydro,3.296517462320543e-07
148,2024-02-03,CISO,Natural gas,
149,2024-02-03,CISO,Hydro,
150,2024-02-03,CISO,Petroleum,
151,2024-02-03,CISO,Wind,
152,2024-02-03,CISO,Coal,
153,2024-02-03,CISO,Solar,
154,2024-02-03,CISO,Nuclear,
155,2024-02-03,CISO,Other,
156,2024-02-03,BPAT,Wind,5.816893873872083e-20
157,2024-02-03,BPAT,Other,1.0611978351845689e-20
158,2024-02-03,BPAT,Nuclear,6.344286755708524e-20
159,2024-02-03,BPAT,Solar,1.1266925656253947e-21
160,2024-02-03,BPAT,Hydro,3.5322040934910115e-19
161,2024-02-03,BPAT,Natural gas,3.1909215872813517e-20
162,2024-02-03,TIDC,Hydro,0.0
163,2024-02-03,TIDC,Natural gas,0.0
164,2024-02-02,CISO,Hydro,
165,2024-02-02,CISO,Wind,
166,2024-02-02,CISO,Solar,
167,2024-02-02,CISO,Nuclear,
168,2024-02-02,CISO,Natural gas,
169,2024-02-02,CISO,Coal,
170,2024-02-02,CISO,Other,
171,2024-02-02,CISO,Petroleum,
172,2024-02-02,BANC,Hydro,4.3524310561462623e-07
173,2024-02-02,BANC,Natural gas,6.894161447555601e-07
174,2024-02-02,BANC,Solar,2.2384902291330696e-08
175,2024-02-02,BANC,Other,7.720606213278916e-09
176,2024-02-02,BPAT,Wind,1.1279830287642023e-20
177,2024-02-02,BPAT,Natural gas,1.6970918073709958e-20
178,2024-02-02,BPAT,Nuclear,3.177188612674701e-20
179,2024-02-02,BPAT,Solar,5.0252684633495415e-22
180,2024-02-02,BPAT,Hydro,1.888385493613146e-19
181,2024-02-02,BPAT,Other,5.318504952629662e-21
182,2024-02-02,TIDC,Hydro,0.0
183,2024-02-02,TIDC,Natural gas,0.0
184,2024-02-01,BPAT,Wind,3.227855538470944e-19
185,2024-02-01,BPAT,Hydro,1.444612929686364e-17
186,2024-02-01,BPAT,Nuclear,2.36079177270357e-18
187,2024-02-01,BPAT,Natural gas,7.657708699934647e-19
188,2024-02-01,BPAT,Solar,1.779469790622731e-20
189,2024-02-01,BPAT,Other,3.854947536800974e-19
190,2024-02-01,TIDC,Natural gas,0.0
191,2024-02-01,TIDC,Hydro,0.0
192,2024-02-01,BANC,Solar,4.298382258722637e-09
193,2024-02-01,BANC,Hydro,7.177278116215921e-08
194,2024-02-01,BANC,Natural gas,1.346560287366196e-07
195,2024-02-01,BANC,Other,1.38399924119862e-09
196,2024-02-01,CISO,Nuclear,0.0
197,2024-02-01,CISO,Petroleum,0.0
198,2024-02-01,CISO,Hydro,0.0
199,2024-02-01,CISO,Natural gas,0.0
200,2024-02-01,CISO,Coal,0.0
201,2024-02-01,CISO,Other,0.0
202,2024-02-01,CISO,Wind,0.0
203,2024-02-01,CISO,Solar,0.0
204,2024-01-31,CISO,Coal,0.0
205,2024-01-31,CISO,Petroleum,0.0
206,2024-01-31,CISO,Hydro,0.0
207,2024-01-31,CISO,Wind,0.0
208,2024-01-31,CISO,Other,0.0
209,2024-01-31,CISO,Nuclear,0.0
210,2024-01-31,CISO,Solar,0.0
211,2024-01-31,CISO,Natural gas,0.0
212,2024-01-31,BPAT,Natural gas,1.2571717581630609e-17
213,2024-01-31,BPAT,Wind,1.2823180029626126e-17
214,2024-01-31,BPAT,Solar,9.974208831107088e-20
215,2024-01-31,BPAT,Other,6.243011837385901e-18
216,2024-01-31,BPAT,Nuclear,3.8848840988089494e-17
217,2024-01-31,BPAT,Hydro,2.3843556933483277e-16
218,2024-01-31,BANC,Hydro,4.111039664012506e-07
219,2024-01-31,BANC,Natural gas,6.03351493061077e-07
220,2024-01-31,BANC,Other,8.379189124101923e-09
221,2024-01-31,BANC,Solar,2.6933107898899036e-09
222,2024-01-31,TIDC,Hydro,0.0
223,2024-01-31,TIDC,Natural gas,0.0
224,2024-01-30,BANC,Solar,3.6109932773823306e-09
225,2024-01-30,BANC,Natural gas,8.067105553354973e-08
226,2024-01-30,BANC,Other,1.2058852088675312e-09
227,2024-01-30,BANC,Hydro,3.481410585048223e-08
228,2024-01-30,BPAT,Hydro,1.4248965522805885e-17
229,2024-01-30,BPAT,Other,3.447505069696969e-19
230,2024-01-30,BPAT,Nuclear,2.1433949831886182e-18
231,2024-01-30,BPAT,Solar,2.351978324030248e-20
232,2024-01-30,BPAT,Natural gas,1.100787749812578e-18
233,2024-01-30,BPAT,Wind,2.205753355858631e-19
234,2024-01-30,CISO,Petroleum,
235,2024-01-30,CISO,Nuclear,
236,2024-01-30,CISO,Hydro,
237,2024-01-30,CISO,Other,
238,2024-01-30,CISO,Coal,
239,2024-01-30,CISO,Wind,
240,2024-01-30,CISO,Solar,
241,2024-01-30,CISO,Natural gas,
242,2024-01-30,TIDC,Hydro,0.0
243,2024-01-30,TIDC,Natural gas,0.0
244,2024-01-29,CISO,Petroleum,
245,2024-01-29,CISO,Natural gas,
246,2024-01-29,CISO,Other,
247,2024-01-29,CISO,Nuclear,
248,2024-01-29,CISO,Wind,
249,2024-01-29,CISO,Hydro,
250,2024-01-29,CISO,Solar,
251,2024-01-29,CISO,Coal,
252,2024-01-29,BANC,Hydro,3.786033532471378e-08
253,2024-01-29,BANC,Other,1.6633781690135416e-09
254,2024-01-29,BANC,Natural gas,1.2971115371865877e-07
255,2024-01-29,BANC,Solar,5.669347259387822e-09
256,2024-01-29,BPAT,Hydro,4.810994945352382e-18
257,2024-01-29,BPAT,Wind,5.053354398169431e-20
258,2024-01-29,BPAT,Other,1.2931404331725878e-19
259,2024-01-29,BPAT,Nuclear,7.969327047187199e-19
260,2024-01-29,BPAT,Natural gas,5.457622750022986e-19
261,2024-01-29,BPAT,Solar,1.3360435559832569e-20
262,2024-01-29,TIDC,Natural gas,0.0
263,2024-01-29,TIDC,Hydro,0.0
264,2024-01-28,CISO,Wind,inf
265,2024-01-28,CISO,Hydro,inf
266,2024-01-28,CISO,Petroleum,inf
267,2024-01-28,CISO,Solar,inf
268,2024-01-28,CISO,Coal,
269,2024-01-28,CISO,Other,-inf
270,2024-01-28,CISO,Natural gas,inf
271,2024-01-28,CISO,Nuclear,inf
272,2024-01-28,BPAT,Other,6.12581209744699e-20
273,2024-01-28,BPAT,Hydro,1.8790205005229888e-18
274,2024-01-28,BPAT,Solar,5.019782111352361e-21
275,2024-01-28,BPAT,Wind,9.796265591123856e-20
276,2024-01-28,BPAT,Nuclear,3.8719439121297555e-19
277,2024-01-28,BPAT,Natural gas,1.915766983499685e-19
278,2024-01-28,BANC,Natural gas,3.3574515307901883e-06
279,2024-01-28,BANC,Other,4.8368919437540744e-08
280,2024-01-28,BANC,Hydro,1.002776871691138e-06
281,2024-01-28,BANC,Solar,1.2686708198840994e-07
282,2024-01-28,TIDC,Hydro,0.0
283,2024-01-28,TIDC,Natural gas,0.0
284,2024-01-27,BPAT,Solar,0.0
285,2024-01-27,BPAT,Nuclear,0.0
286,2024-01-27,BPAT,Wind,0.0
287,2024-01-27,BPAT,Hydro,0.0
288,2024-01-27,BPAT,Natural gas,0.0
289,2024-01-27,BPAT,Other,0.0
