,period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,Generation (MWh),value-units,timestamp
46,2024-01-31,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,16485,megawatthours,2024-01-31
47,2024-01-31,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,24194,megawatthours,2024-01-31
48,2024-01-30,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1084,megawatthours,2024-01-30
49,2024-01-30,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,24217,megawatthours,2024-01-30
50,2024-01-30,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,362,megawatthours,2024-01-30
51,2024-01-30,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10451,megawatthours,2024-01-30
52,2024-01-29,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1227,megawatthours,2024-01-29
53,2024-01-29,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,8194,megawatthours,2024-01-29
54,2024-01-29,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,360,megawatthours,2024-01-29
55,2024-01-29,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,28073,megawatthours,2024-01-29
56,2024-01-28,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,939,megawatthours,2024-01-28
57,2024-01-28,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,24850,megawatthours,2024-01-28
58,2024-01-28,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,358,megawatthours,2024-01-28
59,2024-01-28,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7422,megawatthours,2024-01-28
60,2024-01-27,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7001,megawatthours,2024-01-27
61,2024-01-27,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,25548,megawatthours,2024-01-27
62,2024-01-27,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,373,megawatthours,2024-01-27
