,timestamp,fromba,Power consumed locally (MWh)
171,2023-04-11,BPAT,0
172,2023-04-11,CISO,15808
173,2023-04-11,TIDC,0
174,2023-04-12,BPAT,0
175,2023-04-12,CISO,22714
176,2023-04-12,TIDC,0
177,2023-04-13,BPAT,0
178,2023-04-13,CISO,22756
179,2023-04-13,TIDC,0
180,2023-04-14,BPAT,0
181,2023-04-14,CISO,27215
182,2023-04-14,TIDC,0
183,2023-04-15,BPAT,0
184,2023-04-15,CISO,23787
185,2023-04-15,TIDC,0
186,2023-04-16,BPAT,0
187,2023-04-16,CISO,22025
188,2023-04-16,TIDC,0
189,2023-04-17,BPAT,0
190,2023-04-17,CISO,33443
191,2023-04-17,TIDC,0
192,2023-04-18,BPAT,0
193,2023-04-18,CISO,31489
194,2023-04-18,TIDC,0
195,2023-04-19,BPAT,0
196,2023-04-19,CISO,33140
197,2023-04-19,TIDC,0
198,2023-04-20,BPAT,0
199,2023-04-20,CISO,35770
200,2023-04-20,TIDC,0
201,2023-04-21,BPAT,0
202,2023-04-21,CISO,27296
203,2023-04-21,TIDC,0
204,2023-04-22,BPAT,0
205,2023-04-22,CISO,25289
206,2023-04-22,TIDC,0
207,2023-04-23,BPAT,0
208,2023-04-23,CISO,22108
209,2023-04-23,TIDC,0
210,2023-04-24,BPAT,0
211,2023-04-24,CISO,6619
212,2023-04-24,TIDC,0
213,2023-04-25,BPAT,0
214,2023-04-25,CISO,13551
215,2023-04-25,TIDC,0
216,2023-04-26,BPAT,0
217,2023-04-26,CISO,11186
218,2023-04-26,TIDC,0
219,2023-04-27,BPAT,0
220,2023-04-27,CISO,12008
221,2023-04-27,TIDC,0
222,2023-04-28,BPAT,0
223,2023-04-28,CISO,15199
224,2023-04-28,TIDC,0
225,2023-04-29,BPAT,0
226,2023-04-29,CISO,11839
227,2023-04-29,TIDC,0
228,2023-04-30,BPAT,4043
229,2023-04-30,CISO,0
230,2023-04-30,TIDC,0
231,2023-05-01,BPAT,11971
232,2023-05-01,CISO,0
233,2023-05-01,TIDC,0
234,2023-05-02,BPAT,10117
235,2023-05-02,CISO,0
236,2023-05-02,TIDC,0
237,2023-05-03,BPAT,18131
238,2023-05-03,CISO,0
239,2023-05-03,TIDC,0
240,2023-05-04,BPAT,28275
241,2023-05-04,CISO,0
242,2023-05-04,TIDC,0
243,2023-05-05,BPAT,24051
244,2023-05-05,CISO,0
245,2023-05-05,TIDC,0
246,2023-05-06,BPAT,20512
